Rainfall,Temperature,Humidity,Soil_Moisture,Previous_Groundwater_Level,Water_Consumption,Groundwater_Recharge,Groundwater_Level
50.56,23.65,93.79,43.64,26.15,524.74,84.34,13.9
42.05,43.83,25.82,63.1,28.92,917.1,37.81,11.0
350.48,26.68,42.45,47.16,8.91,426.87,143.23,14.26
36.38,26.57,48.0,46.45,14.6,358.44,72.5,8.8
410.93,25.21,82.59,13.61,2.62,550.66,49.75,6.67
353.12,31.24,99.4,14.46,19.94,510.35,27.22,8.06
40.67,19.62,39.25,44.72,13.59,409.99,36.67,6.47
42.42,31.61,89.94,25.16,9.56,724.37,124.93,5.76
493.32,31.25,86.45,6.58,7.79,783.61,92.16,11.09
187.14,37.86,37.97,59.21,20.31,867.69,136.99,13.79
185.32,40.01,51.95,7.44,13.65,975.57,34.8,3.86
406.4,28.21,52.77,49.65,7.03,339.99,18.17,10.76
473.62,24.07,98.26,45.44,21.3,744.48,0.91,15.61
493.0,22.78,34.47,77.66,17.82,454.83,76.18,21.45
376.69,20.84,83.93,41.32,26.04,709.37,149.75,20.11
188.13,16.73,46.74,9.77,5.29,528.38,104.24,6.1
41.75,25.27,78.47,46.38,24.0,994.4,46.26,8.55
388.57,23.11,53.6,68.08,20.86,756.01,131.53,19.37
279.2,43.99,66.27,79.76,5.22,957.24,117.26,10.54
212.11,31.73,86.61,37.28,21.45,851.47,2.31,9.44
453.18,25.42,84.33,29.02,14.36,912.61,122.53,14.63
55.6,32.41,89.31,73.0,28.46,832.98,45.08,14.2
246.31,19.18,24.77,19.34,5.97,513.24,22.45,6.73
5.68,28.32,75.36,51.16,20.0,326.61,33.95,12.05
234.33,33.79,31.2,35.43,12.7,433.29,70.29,10.33
28.15,29.67,53.27,8.08,28.79,118.21,63.73,13.06
59.41,27.05,63.89,31.05,11.24,571.59,43.33,4.98
58.76,44.82,52.22,24.89,28.94,554.55,25.83,11.0
324.61,41.41,61.57,56.46,27.24,572.73,114.33,20.41
373.02,33.7,99.72,76.16,9.57,976.63,148.52,16.6
291.68,32.08,30.82,25.1,24.5,920.31,116.67,14.45
481.09,33.62,74.04,65.86,29.88,245.54,44.39,21.25
187.44,21.04,51.68,9.15,9.07,431.99,36.72,3.74
142.86,26.85,30.64,45.36,14.23,481.56,32.65,8.74
434.3,16.18,32.7,10.29,16.57,424.48,20.5,13.29
111.8,29.27,95.94,75.05,10.26,818.65,82.7,9.47
481.61,31.29,90.37,62.48,2.43,571.63,90.81,13.8
6.08,21.83,92.56,54.35,8.16,614.89,105.83,8.99
484.94,43.92,99.32,66.79,9.89,867.71,102.03,14.15
21.58,42.28,36.67,53.56,14.42,825.34,43.85,7.57
445.57,36.66,48.44,77.67,6.79,218.99,49.55,11.06
263.85,31.0,73.54,58.55,26.45,742.52,102.23,16.0
496.48,41.1,58.7,74.35,21.74,491.89,52.42,17.98
36.9,18.92,53.47,43.78,4.39,365.18,31.89,3.48
276.93,38.72,48.62,13.78,20.2,145.02,56.15,12.46
484.65,18.74,67.5,44.61,20.3,538.52,40.81,16.83
261.55,38.83,66.05,14.52,28.77,419.89,13.25,12.54
314.7,23.27,32.92,49.44,2.08,326.36,124.52,12.63
347.87,41.31,57.74,41.19,8.94,725.2,127.97,10.65
227.27,43.32,64.28,51.69,27.98,792.54,32.96,11.86
313.78,19.46,65.62,5.75,28.1,320.31,9.72,13.61
292.16,28.88,36.81,19.61,22.18,144.5,110.82,15.37
450.58,44.43,79.38,41.85,23.44,863.88,31.73,12.02
22.72,29.5,22.02,76.29,4.56,108.96,59.02,9.66
140.48,40.91,48.39,33.77,16.39,943.4,9.62,6.78
475.21,32.66,82.42,36.83,8.48,664.86,33.94,11.98
445.13,26.26,65.11,58.6,7.07,389.66,118.94,15.95
227.83,23.57,40.89,50.28,24.69,321.83,120.66,19.19
310.07,21.1,75.6,27.42,5.78,108.11,31.06,10.27
138.69,37.85,65.39,35.81,15.12,311.92,50.39,8.34
94.06,26.6,83.7,21.33,28.28,223.96,20.14,12.93
231.85,30.34,78.8,77.45,7.2,650.95,11.13,8.85
176.68,29.77,68.81,14.8,29.38,249.89,148.83,18.68
291.83,32.32,59.05,32.89,29.84,575.77,98.34,17.69
38.87,40.97,30.65,6.94,17.56,631.1,81.31,7.52
487.2,44.42,40.91,21.63,6.76,368.24,114.82,12.57
493.11,27.23,53.53,63.54,10.85,131.56,126.01,17.65
349.08,39.83,67.94,20.09,13.89,133.53,121.01,15.76
268.05,37.94,61.1,11.0,10.66,123.71,2.48,5.2
154.76,32.21,43.05,40.58,9.86,765.21,28.02,6.97
406.9,43.68,20.52,5.75,29.22,386.21,98.24,16.88
342.37,21.01,59.7,11.36,6.29,816.67,56.36,7.6
81.31,18.28,42.85,65.57,22.53,488.56,147.37,18.74
455.46,40.62,78.77,62.86,2.01,507.7,99.81,13.01
411.27,28.17,21.92,73.64,18.69,561.59,143.48,21.3
474.9,40.41,66.79,69.09,27.65,741.73,30.22,19.06
362.86,41.79,95.32,56.24,10.06,346.15,129.59,12.76
306.71,16.87,33.95,8.92,7.19,209.43,48.2,8.22
209.12,41.5,57.73,63.71,20.25,600.45,148.43,15.44
466.36,28.45,27.31,68.41,21.95,394.28,23.65,18.3
433.03,30.31,70.05,64.93,21.26,498.24,77.45,17.35
22.61,33.8,64.04,43.14,10.94,682.25,118.93,6.54
13.18,42.79,52.59,22.47,9.06,544.71,64.9,5.37
188.23,15.57,61.71,68.4,28.77,658.25,70.21,19.04
405.28,29.31,91.73,59.54,27.85,589.78,147.95,22.68
493.64,35.63,35.7,78.56,14.8,765.82,63.8,16.8
75.21,36.68,21.81,16.68,25.69,735.34,90.61,10.01
297.07,35.78,88.93,21.92,14.67,580.77,8.18,8.24
190.45,19.03,66.17,20.88,13.88,711.01,126.33,9.83
484.96,23.98,91.25,64.44,6.39,886.2,97.23,15.0
421.06,25.76,67.76,19.02,13.94,489.04,60.6,11.59
419.16,39.13,84.81,10.0,17.05,471.49,2.43,8.8
234.35,23.36,54.37,79.89,2.63,787.82,88.75,10.08
207.41,21.32,79.99,6.86,14.44,624.3,1.9,4.52
136.7,43.72,93.04,67.64,23.88,163.91,0.18,13.38
28.19,15.27,65.77,32.4,21.04,902.9,92.41,9.06
432.36,44.93,34.46,68.12,19.78,127.7,28.35,17.8
406.45,35.3,41.5,46.6,27.47,773.56,28.78,17.19
499.86,39.85,35.89,72.62,2.5,782.91,97.99,12.12
498.32,23.84,39.75,74.46,17.6,957.8,8.05,14.73
277.72,15.43,44.51,5.68,24.05,148.72,47.01,14.1
384.49,37.14,64.41,10.66,17.16,637.17,22.41,8.59
472.38,40.02,67.04,23.78,11.07,485.06,87.03,12.96
424.82,37.21,54.12,55.2,5.82,397.57,99.26,14.01
123.67,19.29,69.23,71.62,26.85,181.29,108.17,20.92
225.27,37.6,26.53,39.5,15.18,606.39,38.28,8.35
64.58,38.07,27.02,50.52,26.59,531.14,13.39,9.69
477.03,34.76,33.75,19.14,18.4,194.1,11.8,12.72
303.09,37.98,61.45,65.37,20.88,651.24,63.92,13.97
114.32,40.38,37.12,77.55,24.52,764.16,141.88,17.78
335.85,33.41,42.66,25.14,20.46,790.55,32.66,9.29
309.06,17.66,52.03,42.11,13.15,914.84,38.51,12.4
179.08,29.63,84.95,11.46,16.38,468.52,15.13,8.14
56.78,17.33,21.11,46.94,24.49,957.77,90.84,12.13
335.79,27.23,71.95,42.71,12.46,878.89,101.98,13.06
260.15,27.21,73.51,15.83,12.87,366.85,96.44,8.74
386.16,16.98,83.89,38.15,4.68,243.35,129.17,16.85
260.08,25.46,94.62,30.06,27.61,491.85,72.96,14.94
426.09,18.33,21.61,44.14,4.55,461.71,20.17,9.41
275.95,39.25,32.3,48.92,20.15,618.15,43.41,10.18
280.47,43.43,90.89,5.64,13.57,625.05,99.36,9.29
438.33,17.17,56.68,62.08,13.36,774.99,91.97,14.61
201.74,43.65,65.17,58.48,21.03,558.9,79.65,13.95
67.01,30.68,73.04,32.47,3.88,194.34,102.44,6.09
14.39,23.99,74.33,8.97,18.62,872.46,95.61,5.29
377.57,17.31,94.54,61.62,23.62,378.79,132.2,20.8
310.15,30.02,99.76,76.64,25.19,974.17,87.9,17.99
352.04,38.84,77.61,23.01,6.77,206.07,116.79,9.86
106.48,36.21,42.98,29.26,27.13,962.43,37.31,8.37
68.19,16.51,90.38,18.79,20.37,181.91,101.73,12.97
7.27,17.19,23.94,48.27,26.69,307.93,135.33,19.76
175.29,27.09,38.49,16.61,15.59,141.92,57.86,10.38
294.96,23.86,91.79,31.71,17.18,734.6,116.87,12.42
196.12,21.97,40.5,57.28,27.73,865.27,108.72,16.58
218.74,23.43,37.65,47.01,27.2,490.66,8.93,13.82
452.08,39.1,31.05,33.98,14.55,935.67,87.23,11.96
174.13,42.88,88.73,36.52,9.68,631.27,19.53,6.12
256.99,27.15,60.0,47.16,13.01,667.01,145.1,14.22
391.83,42.18,73.99,5.44,12.86,860.88,121.71,11.22
198.27,24.64,39.13,10.89,10.03,367.12,16.46,4.94
311.04,29.29,80.64,71.09,9.52,418.84,18.26,12.87
431.18,21.78,80.8,10.84,26.11,915.36,89.17,15.09
474.76,34.21,45.01,58.01,3.96,910.87,51.73,8.7
73.54,44.37,52.85,74.0,20.97,978.83,5.24,11.05
463.29,33.1,36.78,25.3,6.84,911.65,81.25,7.13
246.06,25.73,98.12,32.79,11.65,214.63,58.18,9.69
129.12,34.43,71.65,47.67,3.72,841.35,15.16,2.0
229.57,18.69,94.76,71.13,9.56,468.85,120.29,17.49
490.02,41.66,44.27,75.64,23.52,991.72,137.26,23.24
246.31,30.09,82.55,60.47,26.78,525.05,113.49,20.63
164.38,28.48,81.27,11.5,8.2,598.45,123.36,6.98
316.7,32.58,75.33,55.19,14.98,576.8,32.47,14.68
120.07,33.74,97.25,35.77,15.17,389.56,39.54,8.75
37.93,17.15,51.48,40.3,26.46,167.52,31.28,13.95
64.44,35.48,30.46,8.69,23.36,906.09,114.76,9.24
64.02,22.26,73.74,19.33,16.37,822.41,142.19,9.46
75.95,36.42,78.34,64.29,20.78,225.57,107.53,14.83
69.41,39.68,66.0,39.05,25.73,799.09,132.22,13.03
320.44,39.12,36.55,27.62,2.27,663.26,95.8,7.76
90.94,31.58,60.36,33.8,13.28,468.23,58.15,8.03
172.83,30.61,44.98,69.08,27.4,328.62,63.86,17.38
448.39,19.29,54.2,61.17,22.73,873.76,11.3,17.38
236.98,38.26,71.62,25.42,17.2,730.17,4.72,3.4
333.78,23.14,79.62,13.81,16.83,592.97,104.32,13.26
86.16,29.9,38.58,23.9,11.74,648.61,65.76,6.71
96.14,23.53,52.43,74.06,16.57,181.96,82.83,15.95
20.43,19.01,41.53,48.62,20.35,526.53,83.65,11.53
84.47,33.89,35.89,45.01,13.71,274.33,41.61,8.79
139.3,16.63,82.67,49.73,22.0,287.55,71.38,15.82
88.51,37.46,92.74,32.45,26.11,695.17,70.61,13.02
44.35,24.53,49.62,65.53,6.33,920.13,58.26,5.19
60.32,15.0,80.1,44.25,14.64,463.38,123.1,12.21
230.39,30.33,91.76,13.76,13.42,286.97,67.67,11.31
103.17,16.41,87.69,14.68,21.25,683.87,90.55,7.68
182.13,23.29,34.63,45.26,9.0,884.07,134.33,9.35
251.71,36.21,96.5,75.24,19.93,773.49,129.94,18.82
345.2,16.88,50.13,28.13,26.57,881.88,133.56,19.01
19.66,40.18,47.14,70.22,13.71,582.9,40.5,8.62
399.71,15.11,24.99,62.31,27.51,776.69,5.25,16.42
313.95,22.4,58.89,23.59,29.81,226.06,39.16,15.51
40.88,37.23,28.72,7.73,4.97,413.45,41.81,2.0
436.79,24.49,39.88,12.64,8.53,450.59,136.4,14.83
460.44,18.06,45.36,59.64,28.61,560.17,97.39,21.69
30.54,25.81,84.71,19.98,28.83,936.17,12.26,7.72
138.44,23.11,90.04,32.85,4.74,886.87,20.31,2.0
403.1,40.28,44.2,42.63,2.42,221.07,23.35,9.35
374.13,24.4,88.7,59.41,6.51,255.51,94.56,13.54
92.26,38.67,88.58,13.49,29.89,421.88,110.31,13.6
104.67,41.76,81.17,35.48,7.04,361.67,128.95,6.48
185.24,28.01,31.74,41.38,16.07,653.29,141.1,11.41
242.26,42.3,75.23,45.56,25.76,912.5,30.26,11.75
309.13,26.32,95.6,66.38,2.57,966.06,46.47,5.94
184.46,43.92,74.6,17.88,18.93,688.24,36.05,9.84
231.27,17.68,46.53,65.59,9.76,854.34,53.81,7.51
373.74,35.61,60.05,56.97,26.15,572.68,137.2,19.77
18.34,29.81,71.66,46.69,9.94,287.49,86.27,8.32
126.22,26.63,60.85,57.46,21.23,572.22,110.73,14.29
356.67,33.98,29.6,35.9,20.88,599.57,73.52,13.05
447.6,36.12,44.97,15.38,8.2,768.21,4.33,4.96
255.84,15.13,84.19,54.93,2.97,297.89,9.63,6.52
266.06,20.01,88.91,44.35,13.46,431.48,80.69,12.41
53.59,36.39,30.98,52.95,10.1,427.62,107.82,11.7
223.71,34.99,96.19,30.35,24.65,963.5,32.3,10.19
266.31,43.98,46.31,73.01,24.41,499.55,108.29,19.93
121.24,37.83,72.99,49.05,14.8,779.58,121.6,11.38
134.62,43.52,80.15,11.41,18.98,775.73,61.78,8.1
188.64,36.08,84.96,38.74,18.92,338.99,111.96,10.51
10.04,23.94,95.66,61.73,25.16,614.68,60.6,12.3
161.04,18.16,45.03,64.56,13.9,904.87,101.75,13.56
105.72,38.45,88.68,42.09,9.71,527.68,114.6,8.22
163.75,34.32,30.53,72.11,9.42,950.61,148.79,14.07
59.88,16.45,76.4,25.08,17.01,293.01,51.81,10.72
445.26,25.8,79.36,35.79,14.58,166.74,61.66,14.59
296.8,43.7,74.22,72.39,14.32,902.31,24.84,9.85
339.55,30.01,40.19,72.22,4.55,862.91,30.61,7.52
394.59,27.98,89.84,56.43,22.12,993.33,104.01,16.21
249.22,28.73,33.51,69.42,7.98,711.45,137.56,11.83
43.46,21.27,24.29,11.66,7.51,943.02,59.19,2.26
268.55,26.06,77.4,69.87,13.56,844.25,26.98,9.02
293.42,26.09,58.04,29.05,8.38,859.98,42.76,7.35
372.72,16.57,87.93,18.37,18.35,612.23,68.26,13.69
215.83,38.03,50.67,22.95,12.4,444.13,43.6,5.49
63.79,27.5,33.46,36.35,14.57,941.1,35.04,7.09
141.89,39.67,86.92,23.84,17.04,488.91,110.4,11.09
181.54,40.51,63.91,29.04,7.7,584.94,1.18,4.32
322.96,21.36,35.14,15.12,6.36,501.5,80.88,7.53
285.39,34.72,77.63,27.21,26.65,608.34,119.07,17.13
178.05,29.17,60.89,47.92,14.14,523.45,39.93,10.85
493.26,41.4,68.35,38.14,13.54,143.17,90.49,16.05
302.89,21.47,56.87,31.0,3.0,893.84,100.34,9.84
118.61,35.33,86.3,60.98,15.94,499.95,98.25,12.45
50.89,33.23,86.37,72.01,17.52,630.05,66.88,12.52
76.43,23.86,76.75,61.76,17.65,225.27,51.99,12.6
122.98,19.1,28.43,29.9,21.8,103.05,125.39,16.22
80.34,34.55,87.11,60.83,6.97,320.76,113.77,8.05
93.28,37.16,73.68,16.4,9.06,734.13,48.19,3.46
142.55,24.47,75.76,14.77,24.7,189.28,15.45,9.72
86.69,34.34,49.04,30.92,28.52,918.0,10.77,7.78
448.38,26.85,90.34,65.58,5.81,293.52,14.14,14.15
40.12,36.4,78.03,23.48,15.93,284.13,87.43,8.34
262.26,20.98,29.01,9.74,8.0,263.36,7.75,4.52
205.2,41.71,52.62,14.88,3.68,112.58,50.54,4.61
491.19,23.62,90.91,69.41,11.11,794.62,112.98,15.41
56.02,26.03,23.78,52.53,6.02,887.53,44.15,5.79
198.93,16.74,96.91,23.99,21.88,652.75,114.5,12.86
484.74,18.35,74.33,46.65,16.94,269.38,111.82,20.05
432.75,30.48,70.51,44.57,6.03,356.75,36.87,12.32
408.54,23.03,41.64,54.16,2.26,528.33,109.32,11.76
128.95,40.06,39.9,22.49,24.63,958.91,112.17,11.64
85.44,15.44,95.36,69.83,6.93,322.62,59.62,8.38
334.32,26.37,43.86,28.2,18.97,758.48,31.56,13.76
464.69,25.12,82.04,57.06,11.43,495.5,78.19,16.55
278.38,15.58,51.45,6.21,18.39,368.06,138.21,14.16
285.81,18.73,31.14,32.95,10.84,510.32,95.94,10.65
139.99,27.41,20.86,31.38,4.43,164.09,25.94,5.04
384.75,29.79,63.54,45.76,8.24,818.82,102.41,11.24
93.52,27.13,98.06,10.46,7.27,318.97,64.08,7.06
161.84,30.93,49.53,64.26,13.98,752.87,88.73,9.98
212.72,32.85,48.58,21.33,20.43,161.51,110.11,14.33
253.81,15.3,47.53,55.78,9.39,959.59,77.24,10.02
121.2,28.92,61.64,65.24,2.34,273.71,122.1,10.06
57.42,43.9,55.25,47.14,16.53,894.47,108.32,8.85
305.31,30.57,90.39,60.57,18.96,828.53,92.26,14.77
144.32,35.33,60.44,54.64,28.96,971.07,22.62,12.97
290.62,24.36,60.62,31.66,18.51,530.1,125.39,15.78
77.18,38.22,31.07,65.66,15.19,754.66,140.39,12.92
240.57,38.19,98.62,27.1,18.06,433.64,20.54,5.63
266.29,30.64,40.0,47.84,27.98,265.93,73.24,18.31
25.91,44.28,25.87,60.9,25.19,498.77,38.83,9.44
168.3,18.77,73.05,33.42,11.04,249.17,113.18,12.43
67.21,15.51,67.63,27.71,8.64,983.84,108.24,7.64
31.69,38.1,53.21,39.45,9.35,186.62,21.13,3.99
494.98,39.21,53.78,66.35,16.12,630.29,131.55,18.84
161.18,18.61,82.81,74.74,22.83,663.82,27.15,13.17
404.94,22.97,35.66,45.88,16.09,584.27,119.59,18.16
127.32,15.53,85.62,54.61,3.9,695.97,68.55,6.94
340.75,23.8,71.9,72.75,22.26,204.56,49.24,20.76
380.11,38.19,53.52,12.39,24.57,599.52,23.74,12.43
297.82,30.54,56.64,22.41,10.11,358.49,25.14,8.13
235.79,25.44,40.53,58.17,20.6,946.16,99.28,14.4
205.92,26.15,80.17,66.78,13.94,785.86,82.56,13.14
174.43,15.04,61.03,69.28,26.9,975.26,18.31,11.57
464.76,23.99,45.67,36.13,25.67,133.8,16.9,17.89
415.31,34.39,67.68,11.7,16.71,356.62,10.85,10.22
482.51,44.23,99.66,37.83,21.36,275.88,111.57,19.76
62.15,40.41,54.82,22.31,26.73,110.04,106.78,13.66
365.43,15.71,93.66,26.84,15.88,318.09,8.76,10.23
469.17,41.96,47.6,62.92,10.77,710.9,84.04,14.27
90.62,38.5,24.38,10.66,23.1,307.98,12.7,6.35
33.25,38.41,36.34,67.07,8.16,558.1,135.56,7.68
370.56,28.74,53.5,37.08,12.88,899.04,136.07,14.31
287.24,26.94,37.57,49.7,26.24,724.38,104.73,18.11
420.91,24.09,20.02,11.72,22.28,455.17,138.93,18.14
69.89,16.97,93.2,30.3,13.31,435.22,121.72,11.97
397.63,21.85,87.51,11.73,8.01,510.16,124.28,10.75
100.81,22.4,79.38,77.12,11.97,259.34,85.46,11.41
81.83,29.52,33.43,65.54,9.95,670.6,45.91,7.55
82.13,37.42,29.63,39.47,6.93,427.74,32.67,4.12
407.29,29.21,25.41,21.77,22.81,867.13,49.08,11.86
332.6,16.74,77.92,75.01,9.06,780.9,94.27,13.87
261.53,43.73,94.3,30.84,14.72,649.46,25.9,7.06
179.42,43.28,54.44,17.07,12.8,427.78,38.8,4.01
438.6,38.56,29.53,47.24,29.5,288.94,70.21,19.88
196.22,44.74,60.99,75.78,12.95,798.54,34.96,8.14
408.3,31.33,47.91,5.29,4.24,537.77,88.3,8.12
219.57,43.88,49.99,22.86,4.52,302.28,138.48,8.05
188.47,17.27,69.71,75.38,18.54,275.66,112.21,19.2
231.34,25.97,77.5,17.83,18.78,248.86,99.96,15.1
150.69,21.76,28.85,13.49,13.73,799.45,87.41,8.17
373.8,20.87,22.85,47.76,14.09,306.09,73.19,13.16
251.36,19.22,99.55,69.64,3.51,573.98,27.98,10.24
116.11,33.67,38.62,40.78,16.46,506.39,134.21,14.32
449.79,38.44,24.31,79.59,16.13,621.65,37.28,15.87
191.95,32.35,35.19,55.94,6.19,889.44,13.7,6.48
271.78,19.41,23.12,10.56,4.91,880.97,112.5,5.98
453.24,39.33,51.34,79.46,5.46,505.97,26.34,9.89
312.12,34.08,84.19,35.59,4.83,113.83,55.78,8.38
58.45,26.64,47.3,26.56,19.07,483.8,4.24,8.65
469.92,35.22,55.53,46.84,7.5,645.57,20.56,8.11
313.85,22.8,74.05,27.82,9.04,601.99,25.98,7.59
167.45,25.36,60.71,11.48,6.86,686.2,8.16,2.19
69.64,42.52,88.92,5.11,28.82,238.67,98.5,11.78
397.01,23.72,89.28,38.72,25.93,681.88,125.55,18.7
310.04,29.1,20.79,67.76,8.45,264.39,56.0,12.84
266.73,41.7,82.24,47.92,11.17,775.47,131.19,11.13
446.95,36.23,56.86,79.94,7.88,405.18,32.0,12.0
394.3,16.87,99.11,26.51,15.77,738.91,48.81,11.97
75.84,19.42,58.66,26.03,2.55,143.08,22.61,4.76
155.86,15.24,98.95,16.98,20.8,467.07,93.08,13.11
124.24,33.93,80.37,17.3,16.65,734.53,62.98,5.99
371.97,28.43,39.89,26.39,27.16,304.18,91.99,16.74
16.77,19.03,63.07,64.46,6.6,815.76,114.25,7.73
284.94,43.74,99.37,72.93,24.52,667.7,81.86,18.99
381.23,30.89,88.6,78.13,24.17,628.81,94.14,20.91
438.38,22.26,27.79,22.42,5.56,418.19,140.29,13.99
171.04,30.02,76.51,71.1,13.16,534.21,44.86,12.08
410.63,35.39,47.65,29.62,6.76,637.61,53.87,9.24
55.32,17.29,20.56,13.46,9.13,525.22,107.66,6.59
423.23,23.24,52.28,70.25,9.37,728.48,91.7,15.63
63.74,39.21,38.78,52.71,17.57,490.33,26.78,7.82
198.64,28.79,85.51,17.35,13.52,282.05,56.42,7.09
398.65,31.4,46.99,37.24,28.54,292.54,70.18,19.88
74.96,27.98,86.2,26.54,5.54,105.22,62.91,7.37
114.63,16.32,20.05,60.26,29.26,370.86,26.74,14.21
361.13,19.97,44.63,39.01,8.46,774.03,138.66,13.94
360.02,28.37,39.29,79.2,23.64,814.75,114.35,21.92
320.57,21.28,38.69,9.11,11.49,282.22,72.2,10.25
346.97,16.5,25.45,31.63,6.01,963.14,102.01,8.26
271.36,40.31,34.97,41.14,26.02,552.16,134.59,17.78
125.9,44.44,64.44,42.74,10.65,925.28,20.43,3.27
172.85,38.79,43.31,28.7,20.45,736.09,37.56,7.92
90.8,40.61,53.39,59.69,17.86,750.19,81.41,11.13
454.23,22.26,50.15,70.61,15.21,176.54,119.85,18.84
291.7,43.82,90.07,75.4,15.88,297.99,5.44,11.07
200.43,20.91,92.42,65.38,22.5,107.93,147.6,20.56
231.0,43.54,59.44,68.79,4.46,744.51,68.24,8.08
473.64,44.84,46.41,46.29,20.71,409.99,53.88,16.74
76.68,36.35,28.54,66.94,27.08,807.99,43.91,14.94
293.11,44.43,96.27,27.76,3.62,405.04,26.15,5.21
252.94,32.09,24.82,34.89,5.94,837.4,118.74,9.18
305.73,22.79,43.81,28.77,22.07,217.63,143.31,17.16
9.06,28.11,43.85,40.05,14.24,256.04,62.05,9.3
436.06,32.81,45.63,26.42,13.3,406.79,142.86,15.12
466.06,17.19,33.14,77.12,5.84,467.64,123.57,17.5
282.57,33.67,82.65,28.46,16.19,413.83,72.16,11.6
348.33,44.44,29.8,12.35,5.54,787.28,101.1,8.07
461.25,20.7,70.79,44.51,15.35,187.26,65.25,15.1
353.62,38.78,29.91,9.28,23.38,416.1,83.81,11.24
76.27,42.24,25.64,13.29,9.23,853.52,8.71,2.0
288.14,43.31,92.75,21.45,15.46,160.12,104.44,13.38
303.36,43.8,35.21,39.83,29.78,948.11,7.92,12.68
212.07,30.64,85.7,37.49,21.23,987.69,122.56,14.51
368.22,44.32,63.57,64.98,25.56,179.71,123.74,22.21
467.18,37.72,26.23,60.46,13.62,362.15,35.56,14.02
462.78,19.85,96.44,36.97,23.5,435.16,48.55,14.54
225.42,29.31,39.76,30.03,3.13,798.75,72.2,4.82
56.62,36.55,88.77,28.74,5.44,636.33,89.5,5.49
492.42,22.42,33.5,63.05,7.69,679.93,43.1,12.53
419.45,34.22,88.32,8.91,13.25,781.76,88.87,10.39
62.33,35.0,21.06,5.96,25.68,206.18,44.67,10.12
460.42,19.88,60.94,64.67,11.7,849.89,8.32,10.89
434.95,31.95,81.56,40.79,20.33,735.06,0.38,13.13
259.42,38.15,94.78,14.82,21.86,619.61,15.17,10.91
295.64,29.97,92.74,22.67,18.41,900.76,118.84,12.14
199.5,15.36,85.57,74.94,12.0,730.28,144.21,13.91
27.38,15.27,91.06,69.46,18.16,281.53,64.04,12.92
167.6,25.71,35.94,58.23,11.58,486.77,76.9,8.4
401.43,42.79,42.73,41.17,4.35,544.64,22.03,7.8
2.32,21.86,43.12,44.02,29.8,149.7,82.65,16.14
166.75,34.03,50.16,78.14,5.56,959.17,21.7,8.04
199.08,21.66,51.47,77.43,4.03,215.72,91.68,12.08
268.7,24.65,63.56,21.15,26.6,727.72,139.99,16.98
459.93,40.44,32.79,65.83,10.45,555.61,29.35,11.72
173.17,36.87,75.3,19.79,20.21,123.07,114.68,13.08
173.48,17.86,33.41,21.02,11.21,932.27,3.53,2.0
368.75,27.86,44.82,55.71,12.96,866.65,56.32,11.68
226.11,15.88,60.27,35.38,9.34,571.83,16.61,6.71
112.3,29.43,83.72,74.87,11.61,306.05,52.87,11.51
226.22,34.87,79.16,11.68,13.5,209.46,26.03,6.76
70.43,18.56,71.64,43.36,22.17,427.05,56.0,11.99
88.19,23.67,32.46,73.89,16.32,329.89,62.63,12.55
249.18,26.94,63.76,72.81,28.42,556.02,45.09,17.34
209.46,42.59,27.0,16.74,3.17,969.77,98.49,3.62
457.42,44.8,50.19,32.5,16.09,617.46,137.83,15.94
181.2,16.35,53.08,51.43,18.36,900.94,60.09,12.15
290.29,37.83,23.18,16.95,27.77,685.79,28.85,11.8
316.13,26.15,41.92,77.6,3.38,527.72,40.61,9.92
6.55,26.77,96.45,73.61,18.06,869.15,128.1,12.4
331.77,37.63,96.29,17.52,25.9,524.23,85.75,14.04
89.02,42.55,48.19,14.09,8.77,881.77,68.25,2.18
480.54,43.53,23.45,11.41,26.54,362.42,22.45,17.12
74.33,32.31,34.33,73.21,2.53,215.93,67.46,6.98
207.31,25.71,51.38,19.52,22.51,869.78,41.77,9.12
42.67,38.63,95.82,36.22,28.13,628.67,141.47,14.13
498.44,22.53,31.3,38.66,20.4,900.18,132.61,17.99
251.1,31.92,81.08,49.93,14.29,944.04,12.59,7.5
297.69,25.76,28.69,10.38,3.26,148.27,77.5,7.99
33.54,34.7,98.5,22.01,27.76,550.87,33.76,7.34
374.98,22.21,50.53,74.86,15.17,437.47,61.62,17.77
104.95,20.75,82.02,73.13,2.81,663.27,131.53,10.74
449.03,42.55,47.41,63.6,21.31,814.23,79.13,15.57
102.57,18.05,70.21,6.46,15.49,352.53,50.13,4.45
95.34,30.18,35.36,29.53,5.48,601.12,31.18,2.0
18.27,21.63,31.68,52.1,8.0,737.86,120.05,7.72
236.03,16.17,95.05,25.64,3.81,220.99,93.68,12.07
282.42,16.08,93.41,73.22,18.08,832.66,70.21,15.75
32.85,20.26,91.0,52.54,19.42,645.5,32.62,7.03
387.76,41.0,70.03,10.39,16.16,954.58,50.14,7.61
226.64,23.47,84.66,73.18,24.88,405.58,143.98,20.86
262.2,43.51,25.52,76.83,26.11,197.33,78.01,19.68
220.38,32.45,46.78,10.83,19.24,555.85,60.1,7.89
200.38,28.1,45.1,44.93,2.36,177.23,78.21,8.28
279.82,32.4,70.85,27.75,21.47,972.57,116.85,12.23
77.62,30.5,48.48,34.46,13.7,134.82,51.02,7.37
90.96,37.76,31.88,18.47,17.84,778.15,26.81,5.47
